X,sampling_date,year,SampleID,pit,cross,length_mm,weight_g,fatmeter,tank,sex,deform,days_post_hatch,notes,meanRank,meanFat,rankFat,sire_col,dam_col,posAlSum.x,posAlSum.y
1,8/20/2012,2012,F2LT-208,6C00011546,SxS,140,27,NA,3,?,NA,265,NA,17,47.6,NA,NA,NA,19,19
2,8/20/2012,2012,F2LT-086,6C00011903,SxS,133,23,NA,3,?,NA,265,NA,33,53.4,NA,1023,1091,NA,NA
3,8/20/2012,2012,F2LT-544,6C00012000,LxL,133,19,NA,4,?,NA,265,NA,29.33333333,42.73333333,NA,1419,1470,19,16
4,8/20/2012,2012,F2LT-328,6C00012013,LxL,121,14,NA,4,?,NA,265,NA,36.8,41.08,NA,1119,1146,15,18
5,8/20/2012,2012,F2LT-446,6C00012017,LxL,121,14,NA,4,?,NA,265,NA,25.2,39.2,NA,1168,1146,15,25
6,8/20/2012,2012,F2LT-031,6C00012018,LxL,124,16,NA,4,?,NA,265,NA,23,32.18,NA,1119,1146,NA,NA
7,8/20/2012,2012,F2LT-461,6C00012020,LxL,128,19,NA,4,?,NA,265,NA,34.8,42.96,NA,1145,1207,16,20
8,8/20/2012,2012,F2LT-064,6C00012022,LxL,120,15,NA,4,?,NA,265,NA,39.33333333,36,NA,1168,1146,NA,NA
9,8/20/2012,2012,F2LT-337,6C00012030,LxL,131,21,NA,4,?,NA,265,NA,37.6,39.12,NA,1184,1110,21,18
10,8/20/2012,2012,F2LT-288,6C00012031,LxL,133,20,NA,4,?,NA,265,NA,17.33333333,30.73333333,NA,1404,1470,12,9
11,8/20/2012,2012,F2LT-102,6C00012032,LxL,145,27,NA,4,?,NA,265,NA,57.33333333,43.76666667,NA,1184,1110,19,20
12,8/20/2012,2012,F2LT-249,6C00012035,LxL,136,22,NA,4,?,NA,265,NA,21.33333333,31.2,NA,1162,1125,21,24
13,8/20/2012,2012,F2LT-019,6C00012039,LxL,137,22,NA,4,?,NA,265,NA,29.8,37.6,NA,1162,1125,NA,NA
14,8/20/2012,2012,F2LT-524,6C00012046,LxL,137,23,NA,4,?,NA,265,NA,25.8,39.52,NA,1184,1110,13,24
