"","locus","meanFat","meanLen","meanK","LG","unlist.map."
"1","CLocus_80522",0.599408076690149,0.0561848028279829,0.530487787727614,"1",6.18
"2","c1.loc7",0.0465894104221885,0.444608626162667,0.521352029857202,"1",7.18
"3","c1.loc8",0.144302391387824,0.0729361411728268,0.0523047555410612,"1",8.18
"4","c1.loc9",0.254601978838666,0.80652497942047,0.0586597485351085,"1",9.18
"5","c1.loc10",0.12080745155181,1.96194246702687,0.0353353794961399,"1",10.18
"6","c1.loc11",1.42808590375959,0.263767950000412,0.326423927293798,"1",11.18
"7","CLocus_41949",0.279871800959586,0.54796266003836,0.323669875951356,"1",12.18
"8","CLocus_71137",0.235829724197674,1.87158529217415,0.252102315704508,"1",13.18
"9","CLocus_29875",0.661670960742123,0.196390982577811,0.565217350581928,"1",14.17
"10","c1.loc15",0.137054044932163,1.15099012032295,0.19903059173311,"1",15.18
"11","CLocus_63837",0.40113491785641,0.113780438551294,0.244771522577049,"1",16.17
"12","c1.loc17",5.07067198899226,1.15701428484588,0.117042361031567,"1",17.18
"13","c1.loc18",0.77305285540732,1.2448822436319,0.247261838477662,"1",18.18
"14","c1.loc19",0.960723841091828,0.509804132960715,0.294142475384208,"1",19.18
"15","c1.loc20",0.32359712521836,0.261206359139175,0.193048933010709,"1",20.18
"16","c1.loc21",1.36384049683558,0.231393840097776,0.952924782456978,"1",21.18
"17","c1.loc22",0.618948433286855,0.354377839917816,2.6249050039286,"1",22.18
"18","c1.loc23",0.0734938135926641,0.000250372591526215,1.77640932408929,"1",23.18
"19","c1.loc24",1.58347169314466,0.418054119001273,0.820405660980862,"1",24.18
"20","c1.loc25",0.459923328586812,0.272266599300845,0.235752180041289,"1",25.18
"21","c1.loc26",0.0800143704829787,0.34550794628125,0.285226555058356,"1",26.18
"22","c1.loc27",1.23572453639451,0.0453589668311844,3.49370693970195,"1",27.18
"23","CLocus_58241",0.118847880911071,0.189441061844169,0.415705309355841,"1",28.18
"24","c1.loc29",0.148982021572635,0.47847551772139,0.182746645497692,"1",29.18
"25","c1.loc30",0.656937610565479,0.52635429132541,0.430656377379479,"1",30.18
"26","c1.loc31",0.117462602451232,0.0933013850239887,0.281871070601085,"1",31.18
"27","c1.loc32",0.441354812042128,0.189265976208738,0.0827897311824902,"1",32.18
"28","c1.loc33",0.901091626876173,0.740319447844802,0.332107467457948,"1",33.18
"29","CLocus_100814",0.332615803206407,1.99069667321979,0.362917159701002,"1",34.17
